Membership No  Date Joined  Active  
    82858      2019-3-21    no    
    54415      2015-2-24    yes   
    24268      2016-3-10    no    
    43655      2015-7-11    yes   
    34186      2015-12-14   yes   
    66865      2018-9-24    yes   
    59094      2019-1-13    no    
    63345      2018-2-11    no    
    35879      2018-11-6    no    
    74051      2016-10-13   yes   
    58571      2015-10-11   yes   
    50628      2017-11-8    yes   
    53331      2019-2-7     no    
    50593      2016-3-24    yes   
    60000      2018-9-23    no    
    59801      2019-4-14    no    
    22586      2018-11-15   no    
    21333      2018-3-20    yes   
    27556      2019-5-4     no    
    35472      2019-8-1     yes   
