Membership No  Date Joined  Active  
    44599      2019-6-6     no    
    24607      2020-1-7     no    
    39624      2017-11-18   yes   
    21888      2017-1-19    no    
    49081      2016-10-9    no    
    46073      2020-8-9     no    
    92647      2017-7-2     no    
    57959      2016-3-10    no    
    80287      2017-3-2     yes   
    17845      2016-7-7     no    
    50040      2019-2-2     no    
    18306      2018-6-6     yes   
    90733      2020-12-5    yes   
    75779      2019-4-16    yes   
    88164      2017-5-6     yes   
    69174      2019-8-19    no    
    34334      2019-7-16    yes   
    62794      2020-3-25    no    
    67981      2015-11-24   yes   
    91764      2016-9-23    yes   
