Membership No  Date Joined  Active  
    16550      2017-9-10    no    
    47007      2016-1-17    yes   
    43770      2016-1-14    yes   
    36035      2020-3-19    no    
    68755      2019-4-23    yes   
    62291      2016-12-11   no    
    60944      2020-7-14    no    
    34538      2020-3-4     no    
    11738      2015-11-10   yes   
    90994      2019-1-10    no    
    27599      2017-10-1    no    
    47024      2017-3-23    no    
    17104      2020-5-21    no    
    92352      2020-9-9     yes   
    95435      2015-7-1     no    
    10496      2018-1-6     yes   
    92328      2015-6-16    yes   
    40883      2015-9-25    yes   
    13857      2015-10-16   yes   
    42831      2018-2-16    yes   
