Membership No  Date Joined  Active  
    20786      2019-9-6     yes   
    63816      2017-5-5     yes   
    47676      2020-7-7     no    
    34327      2015-1-5     no    
    89597      2017-3-15    yes   
    23815      2015-1-18    yes   
    57164      2016-6-20    no    
    21837      2018-10-16   yes   
    88229      2018-7-22    yes   
    41022      2017-7-24    yes   
    88740      2019-6-17    no    
    88988      2018-12-14   yes   
    34915      2015-7-8     yes   
    76381      2016-2-8     yes   
    19447      2017-2-23    no    
    71119      2015-7-10    no    
    96431      2019-4-21    yes   
    26134      2016-10-22   yes   
    42720      2020-7-17    yes   
    19365      2015-6-6     no    
